NCM;DESCRIÇÃO;ALÍQUOTA (%)
0302.89.44;Tambaqui (Colossoma macropomum);0
0302.89.45;Tambacu (híbrido de tambaqui e pacu);0
0302.89.90;Outros;0
0302.90.00;- Fígados, ovas e sêmen;0
0303.1;- Salmonídeos, exceto fígados, ovas e sêmen:;
0303.11.00;-- Salmão (Oncorhynchus nerka);0
0303.12.00;-- Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus);0
0303.13.00;-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);0
0303.14.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);0
0303.19.00;-- Outros;0
0303.2;- Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), exceto fígados, ovas e sêmen:;
0303.23.00;-- Tilápias (Oreochromis spp.);0
0303.24;-- Bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);
0303.24.10;Bagre (Ictalurus puntactus);0
0303.24.90;Outros;0
0303.25.00;-- Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus);0
0303.26.00;-- Enguias (Anguilla spp.);0
0303.29.00;-- Outros;0
0303.3;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen:;
0303.31.00;-- Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);0
0303.32.00;-- Solha (Pleuronectes platessa);0
0303.33.00;-- Linguados (Solea spp.);0
0303.34.00;-- Pregado (Psetta maxima);0
0303.39.00;-- Outros;0
0303.4;- Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen:;
0303.41.00;-- Albacora-branca (Thunnus alalunga);0
0303.42.00;-- Albacora-laje (Thunnus albacares);0
0303.43.00;-- Bonito-listrado;0
0303.44.00;-- Albacora-bandolim (Thunnus obesus);0
0303.45.00;-- Atuns azuis (Thunnus thynnus, Thunnus orientalis);0
0303.46.00;-- Atum azul do Sul (Thunnus maccoyii);0
0303.49.00;-- Outros;0
0303.5;- Arenques (Clupea harengus, Clupea pallasii), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus), chicharros (Trachurus spp.), bijupirá (Rachycentron canadum) e espadarte (Xiphias gladius), exceto fígados, ovas e sêmen:;
0303.51.00;-- Arenques (Clupea harengus, Clupea pallasii);0
0303.53.00;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus);0
0303.54.00;-- Cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus);0
0303.55.00;-- Chicharros (Trachurus spp.);0
0303.56.00;-- Bijupirá (Rachycentron canadum);0
0303.57.00;-- Espadarte (Xiphias gladius);0
0303.6;- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto fígados, ovas e sêmen:;
0303.63.00;-- Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);0
0303.64.00;-- Haddock ou lubina (Melanogrammus aeglefinus);0
0303.65.00;-- Saithe (Pollachius virens);0
0303.66.00;-- Merluzas e abróteas (Merluccius spp., Urophycis spp.);0
0303.67.00;-- Merluza-do-alasca (Theragra chalcogramma);0
0303.68.00;-- Verdinhos (Micromesistius poutassou, Micromesistius australis);0
0303.69;-- Outros;
0303.69.10;Merluza rosada (Macruronus magellanicus);0
0303.69.90;Outros;0
0303.8;- Outros peixes, exceto fígados, ovas e sêmen:;
0303.81;-- Cação e outros tubarões;
0303.81.1;Tubarão-azul (Prionace glauca);
0303.81.11;Inteiro;0
0303.81.12;Eviscerado, sem cabeça e sem barbatanas;0
0303.81.13;Em pedaços, com pele;0
0303.81.14;Em pedaços, sem pele;0
0303.81.19;Outros;0
0303.81.90;Outros;0
0303.82.00;-- Raias (Rajidae);0
0303.83;-- Merluza negra e merluza antártica (Dissostichus spp.);
0303.83.1;Merluza negra (Dissostichus eleginoides);
0303.83.11;Evisceradas, sem cabeça e sem cauda;0
0303.83.12;Cabeças;0
0303.83.19;Outras;0
0303.83.2;Merluza antártica (Dissostichus mawsoni);
0303.83.21;Evisceradas, sem cabeça e sem cauda;0
0303.83.22;Cabeças;0
0303.83.29;Outras;0
0303.84.00;-- Robalos (Dicentrarchus spp.);0
0303.89;-- Outros;
0303.89.10;Corvina (Micropogonias furnieri);0
0303.89.20;Pescadas (Cynoscion spp.);0
0303.89.3;Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.), pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus);
0303.89.31;Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.);0
0303.89.32;Pargo (Lutjanus purpureus);0
0303.89.33;Peixe-sapo (Lophius gastrophysus);0
0303.89.4;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mujil spp.), esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus), peixes-rei (Atherina spp.), merluza rosada (Macruronus magellanicus) e nototenias (Patagonotothen spp.);
0303.89.41;Cherne-poveiro (Polyprion americanus);0
0303.89.42;Garoupas (Acanthistius spp.);0
0303.89.43;Tainhas (Mujil spp.);0
0303.89.44;Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);0
0303.89.45;Peixes-rei (Atherina spp.);0
0303.89.46;Nototenias (Patagonotothen spp.);0
0303.89.5;"Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), pirarucus (Arapaima gigas) e anchoitas (Engraulis anchoita)";
0303.89.51;Curimatãs (Prochilodus spp.);0
0303.89.52;"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";0
0303.89.53;Surubins (Pseudoplatystoma spp.);0
0303.89.54;Traíra (Hoplias malabaricus & H. cf. lacerdae);0
0303.89.55;Piaus (Leporinus spp.);0
0303.89.56;Pirarucu (Arapaima gigas);0
0303.89.57;Anchoita (Engraulis anchoita);0
0303.89.6;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus Mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu);
0303.89.61;Piramutaba (Brachyplatystoma vaillantii);0
0303.89.62;Dourada (Brachyplatystoma flavicans);0
0303.89.63;Pacu (Piaractus Mesopotamicus);0
0303.89.64;Tambaqui (Colossoma macropomum);0
0303.89.65;Tambacu (híbrido de tambaqui e pacu);0
0303.89.90;Outros;0
0303.90.00;- Fígados, ovas e sêmen;0
0304.3;- Filés de tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), frescos ou refrigerados:;
0304.31.00;-- Tilápias (Oreochromis spp.);0
0304.32;-- Bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);
0304.32.10;Bagre (Ictalurus puntactus);0
0304.32.90;Outros;0
0304.33.00;-- Perca-do-nilo (Lates niloticus);0
0304.39.00;-- Outros;0
0304.4;- Filés de outros peixes, frescos ou refrigerados:;
0304.41.00;-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);0
0304.42.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);0
0304.43.00;-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae);0
0304.44.00;-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae;0
0304.45.00;-- Espadarte (Xiphias gladius);0
0304.46.00;-- Merluza negra e merluza antártica (Dissostichus spp.);0
0304.49;-- Outros;
0304.49.10;Cherne-poveiro (Polyprion americanus);0
0304.49.20;Garoupas (Acanthistius spp.);0
0304.49.90;Outros;0
0304.5;- Outros, frescos ou refrigerados:;
0304.51.00;-- Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.);0
0304.52.00;-- Salmonídeos;0
